benchmark,run,result
quadratic,baseline,785
quadratic,to_ssa,1403
quadratic,to_from_ssa,1423
primes-between,baseline,574100
primes-between,to_ssa,877740
primes-between,to_from_ssa,missing
orders,baseline,5352
orders,to_ssa,8341
orders,to_from_ssa,missing
relative-primes,baseline,1923
relative-primes,to_ssa,2670
relative-primes,to_from_ssa,missing
hanoi,baseline,99
hanoi,to_ssa,137
hanoi,to_from_ssa,128
check-primes,baseline,8468
check-primes,to_ssa,15917
check-primes,to_from_ssa,missing
sum-sq-diff,baseline,3038
sum-sq-diff,to_ssa,5665
sum-sq-diff,to_from_ssa,5847
fact,baseline,229
fact,to_ssa,230
fact,to_from_ssa,230
loopfact,baseline,116
loopfact,to_ssa,216
loopfact,to_from_ssa,217
recfact,baseline,104
recfact,to_ssa,105
recfact,to_from_ssa,105
factors,baseline,72
factors,to_ssa,129
factors,to_from_ssa,133
perfect,baseline,232
perfect,to_ssa,436
perfect,to_from_ssa,441
digital-root,baseline,247
digital-root,to_ssa,341
digital-root,to_from_ssa,missing
up-arrow,baseline,252
up-arrow,to_ssa,470
up-arrow,to_from_ssa,missing
sum-divisors,baseline,159
sum-divisors,to_ssa,259
sum-divisors,to_from_ssa,missing
ackermann,baseline,1464231
ackermann,to_ssa,1464232
ackermann,to_from_ssa,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,to_ssa,108152
pythagorean_triple,to_from_ssa,missing
euclid,baseline,563
euclid,to_ssa,879
euclid,to_from_ssa,890
binary-fmt,baseline,100
binary-fmt,to_ssa,137
binary-fmt,to_from_ssa,150
lcm,baseline,2326
lcm,to_ssa,3359
lcm,to_from_ssa,3483
gcd,baseline,46
gcd,to_ssa,76
gcd,to_from_ssa,85
catalan,baseline,659378
catalan,to_ssa,1003828
catalan,to_from_ssa,974303
armstrong,baseline,133
armstrong,to_ssa,190
armstrong,to_from_ssa,204
pascals-row,baseline,146
pascals-row,to_ssa,280
pascals-row,to_from_ssa,267
collatz,baseline,169
collatz,to_ssa,241
collatz,to_from_ssa,255
sum-bits,baseline,73
sum-bits,to_ssa,101
sum-bits,to_from_ssa,107
rectangles-area-difference,baseline,14
rectangles-area-difference,to_ssa,17
rectangles-area-difference,to_from_ssa,19
reverse,baseline,46
reverse,to_ssa,83
reverse,to_from_ssa,82
fizz-buzz,baseline,3652
fizz-buzz,to_ssa,10262
fizz-buzz,to_from_ssa,missing
bitwise-ops,baseline,1690
bitwise-ops,to_ssa,2408
bitwise-ops,to_from_ssa,missing
